Ticker,Janela,Num Features,CV Avg MAE,CV Avg MSE,CV Avg RMSE,CV Avg R2,Teste MAE,Teste MSE,Teste RMSE,Teste R2,num_lstm_layers,units_lstm_0,dropout_lstm_0,num_dense_layers,learning_rate,units_dense_0,dropout_dense_0,Experimento,units_lstm_1,dropout_lstm_1,units_lstm_2,dropout_lstm_2,units_dense_1,dropout_dense_1
BRFS3.SA,Janela_1,7.0,0.761016857755053,1.1289200336772849,0.9845655350671532,0.836522487007557,13.251721386173433,175.89736415741515,13.26263036344658,-30.14773864419229,1,100,0.1,1,0.0005,32.0,0.1,Micro,50.0,0.2,,,,
BRFS3.SA,Janela_2,7.0,0.616687361224667,0.6991893147843242,0.8090102384628379,0.8754911953600082,7.197399917108035,52.088306990294136,7.217222941706466,-8.20491291154441,1,100,0.1,0,0.001,32.0,0.1,Micro,100.0,0.2,,,,
BRFS3.SA,Janela_3,7.0,0.9468932471432528,1.6392917836902985,1.118067975636058,0.7713569414240343,8.150985306828638,66.59016459805272,8.160279688714887,-10.74983948653596,1,150,0.2,0,0.001,,,Micro,,,,,,
BRFS3.SA,Janela_4,7.0,1.0549701227008963,2.354735244067089,1.2669026305615392,0.6774018200949881,4.129614746471521,17.210883073234807,4.148600134169936,-2.0316076528827645,1,100,0.1,0,0.0005,64.0,0.1,Micro,50.0,0.1,,,,
CSNA3.SA,Janela_1,7.0,0.9675502488901324,1.4204812960909687,1.1286134567396284,0.6862961914230811,1.1566982793283986,1.6895956052361685,1.2998444542468028,0.5702594102143581,2,150,0.1,0,0.001,,,Micro,150.0,0.2,,,,
CSNA3.SA,Janela_2,7.0,0.7185950892312186,0.8772347646081549,0.8960239148782062,0.8033887896726825,31.76973209696368,1009.5193369528612,31.772934031229493,-255.0613795178951,2,150,0.1,0,0.001,32.0,0.1,Micro,150.0,0.2,,,,
CSNA3.SA,Janela_3,7.0,1.5184621727073586,4.824017524818197,1.675153983599369,-0.0776926658143666,58.72983136361475,3449.5993314796965,58.73328980637554,-871.5903824834445,1,150,0.1,1,0.001,32.0,0.2,Micro,100.0,0.1,,,,
CSNA3.SA,Janela_4,7.0,1.61567377227446,5.830360180615846,1.7974775379817611,-0.01306775193592,19.971491980090367,399.46008020171325,19.98649744706944,-99.76657378237891,1,50,0.2,1,0.001,32.0,0.1,Micro,,,,,,
GGBR3.SA,Janela_1,7.0,0.5015996744344523,0.4808484757246452,0.6178291803078467,0.7363736259637518,0.3440479236644701,0.2220223439454945,0.4711924701706241,0.905224531790906,1,150,0.1,0,0.0005,64.0,0.2,Micro,50.0,0.1,,,,
GGBR3.SA,Janela_2,7.0,0.4778123279194255,0.3856898043835597,0.6014030979662525,0.812527924778484,0.3919693497586839,0.2743901505640346,0.5238226327336712,0.8829086620533976,1,150,0.2,0,0.0005,32.0,0.2,Micro,100.0,0.2,,,,
GGBR3.SA,Janela_3,7.0,0.664334949032291,0.781572360179874,0.7801024050650671,0.7372341111640017,0.5876176791955092,0.4897963726803603,0.6998545368005843,0.7910233778945713,1,150,0.2,0,0.001,32.0,0.2,Micro,50.0,0.1,,,,
GGBR3.SA,Janela_4,7.0,0.9596407126326588,1.6695811631590105,1.1008831184651482,0.2533137624195137,0.6475456058153483,0.5425864395106658,0.7366046697589324,0.7686145461109692,1,100,0.1,1,0.001,64.0,0.1,Micro,100.0,0.2,,,,
JBSS3.SA,Janela_1,7.0,0.6183283711527734,0.599952081776918,0.7526175800782255,0.7818834499534466,2.0760789598737444,5.209758341779969,2.282489505294596,-0.1269495995055158,2,150,0.1,0,0.0005,64.0,0.1,Micro,100.0,0.1,,,,
JBSS3.SA,Janela_2,7.0,0.6076242216340793,0.6160863013310843,0.7556421405782882,0.788300040688626,8.972883728910084,82.53121349644658,9.08466914622908,-16.82169120136784,1,150,0.1,0,0.0005,64.0,0.2,Micro,100.0,0.2,,,,
JBSS3.SA,Janela_3,7.0,0.7038119913457518,0.7858877497824639,0.8469345416638159,0.659318774321397,0.7829744223073044,0.835742081428813,0.914189302840945,0.819940267727379,1,150,0.1,0,0.001,64.0,0.2,Micro,100.0,0.2,,,,
JBSS3.SA,Janela_4,7.0,0.6718577748504135,0.6981741021689336,0.8186924443707511,0.7734339816564294,18.978501280258897,360.51815556131794,18.98731564917269,-76.52274053969805,1,100,0.2,0,0.001,32.0,0.2,Micro,100.0,0.1,,,,
PETR4.SA,Janela_1,7.0,0.3787109710358003,0.2714400868415668,0.4712779175317805,0.7727633080465555,23.96767352963542,601.3546136899799,24.522532774776344,-21.350836865895104,1,50,0.2,1,0.001,32.0,0.1,Micro,50.0,0.1,,,,
PETR4.SA,Janela_2,7.0,0.3262515251453106,0.2031388486553196,0.4278886354155132,0.8359315485082606,23.27262797073228,568.443508701128,23.842053365872832,-20.188207701181927,1,100,0.2,0,0.0005,,,Micro,100.0,0.2,,,,
PETR4.SA,Janela_3,7.0,0.6840306591201616,0.7187665044248067,0.7742937277409222,0.2638591984323397,23.519841743437624,579.9176463440613,24.08147932216917,-20.691578599189505,1,150,0.1,1,0.001,32.0,0.2,Micro,50.0,0.2,,,,
PETR4.SA,Janela_4,7.0,0.4678316743334355,0.3840410221592941,0.56530215949659,0.6411915763397247,16.475125076367913,298.0882377070914,17.265232049036914,-10.181737166779032,1,100,0.1,1,0.0005,32.0,0.1,Micro,,,,,,
SOJA3.SA,Janela_1,7.0,0.4392339138945272,0.3514919307283296,0.5423595799637777,0.4009250865158827,2.8684968791165195,8.551631890760591,2.9243173375611256,-2.735265740982208,1,50,0.1,1,0.001,32.0,0.1,Micro,100.0,0.2,,,,
SOJA3.SA,Janela_2,7.0,0.6503019522044284,0.6950681281071854,0.7499280366000765,-0.3719272262375367,3.704503646566848,14.794718185344562,3.846390279904597,-5.480873908330823,1,50,0.2,1,0.001,64.0,0.1,Micro,150.0,0.1,,,,
SOJA3.SA,Janela_3,7.0,0.4810039204999435,0.3921464800022424,0.5775957440322296,0.3184131421984049,4.4049251632795805,20.41220609158579,4.5179869512412045,-7.992463257070922,1,100,0.1,1,0.001,64.0,0.1,Micro,100.0,0.2,,,,
SOJA3.SA,Janela_4,7.0,0.4857318720541709,0.4051272101096642,0.5903530886531542,0.2689420160943232,2.6156968317533797,7.828728730932182,2.797986549455194,-2.4635957655445875,1,50,0.1,1,0.001,32.0,0.1,Micro,100.0,0.2,,,,
