Ticker,Melhor Janela,Saldo Final,Retorno Liquido (%),Sharpe Ratio,Drawdown (%),Custos (R$),Impostos (R$),Modelo
VALE3.SA,Janela_1,9522.1315036055,-4.778684963944997,-0.0490520279962116,-34.620758804421655,89.83204401366694,0.0,LSTM Micro
BRFS3.SA,Janela_2,18159.75499445526,81.5975499445526,1.0780138624159177,-38.7417201349637,24.537639888128865,0.0,LSTM MacroMicro
CSNA3.SA,Janela_1,14752.675945882493,47.52675945882493,0.9802463157931612,-38.69255371103952,9.903431751053418,0.0,LSTM MacroMicro
JBSS3.SA,Janela_1,12522.490460226423,25.224904602264232,0.7204783137332548,-29.458042459459303,9.011000584324298,0.0,LSTM MacroMicro
SOJA3.SA,Janela_4,10778.878115666428,7.788781156664282,0.6181705474589922,-9.082747178418922,125.51833206254436,2.2797705357571405,LSTM MacroMicro
SUZB3.SA,Janela_1,11397.63315773837,13.9763315773837,0.5417201430359032,-25.810229674998304,17.951155854081577,0.0,LSTM MacroMicro
BEEF3.SA,Janela_2,10000.0,0.0,0.0,0.0,0.0,0.0,LSTM MacroMicro
GGBR3.SA,Janela_3,10000.0,0.0,0.0,0.0,0.0,0.0,LSTM MacroMicro
VALE3.SA,Janela_3,9924.440630902363,-0.755593690976366,-0.1311713575706804,-3.76577832469921,56.79726848515818,0.0,LSTM MacroMicro
SOJA3.SA,Janela_5,15036.516169156452,50.36516169156452,1.5386419307755503,-10.645012216941687,138.86424687501736,148.42873519407286,Transformers Macro
BRFS3.SA,Janela_15,18009.74127682617,80.0974127682617,1.1314114447467276,-35.23920219086794,24.35040998071632,232.0384928646845,Transformers Macro
JBSS3.SA,Janela_5,11521.950500343646,15.219505003436462,1.103807671505444,-6.145771362336677,122.06438854224186,4.683789140387029,Transformers Macro
CSNA3.SA,Janela_5,12936.849849819271,29.36849849819273,0.7195150030850818,-38.07605044535328,82.79240376286295,136.39872306592855,Transformers Macro
SUZB3.SA,Janela_20,11264.687772272524,12.64687772272524,0.5791666066201219,-21.161824025666085,178.98294543794714,92.20092093959109,Transformers Macro
GGBR3.SA,Janela_5,10000.0,0.0,0.0,0.0,0.0,0.0,Transformers Macro
VALE3.SA,Janela_5,9720.27909884387,-2.797209011561299,-0.0153174934443332,-20.791396756686098,139.5634909775065,41.17359624620144,Transformers Macro
BRFS3.SA,Janela_15,18224.82746212093,82.24827462120935,1.1218612366207554,-35.23920219086795,11.292848124098011,0.0,Transformers Micro
SOJA3.SA,Janela_10,14553.104782690169,45.53104782690166,1.095398495182305,-21.332774564592945,117.13643914076113,130.12667425964233,Transformers Micro
GGBR3.SA,Janela_20,11870.60712568548,18.706071256854813,1.0368920097767786,-9.861501952558893,226.34036798661452,206.49572939898093,Transformers Micro
JBSS3.SA,Janela_20,11688.520319461126,16.885203194611258,0.9224206416230556,-6.897393573628455,68.95426987352884,149.75060137558103,Transformers Micro
CSNA3.SA,Janela_5,13193.082398222929,31.930823982229285,0.758416852716429,-38.69255371103952,9.279344697168035,0.0,Transformers Micro
SUZB3.SA,Janela_10,11190.718983878256,11.90718983878256,0.503892278140461,-22.9382005945954,253.59990814252657,166.48291616167188,Transformers Micro
BEEF3.SA,Janela_5,10704.703775256246,7.047037752562464,0.3164389719670758,-24.1379271935942,83.70762063869746,159.00440297373422,Transformers Micro
VALE3.SA,Janela_10,10442.261037695982,4.42261037695982,0.2556963791047035,-22.00947271095208,63.991964466824726,1.4766524944442414,Transformers Micro
SOJA3.SA,Janela_10,12007.425719637964,20.07425719637964,1.8236726306192408,-3.634662519096581,90.43421252399312,87.37166136126017,Transformers MacroMicro
JBSS3.SA,Janela_20,12123.936306536203,21.23936306536205,1.436696148283976,-4.935658355310516,72.32646195171273,90.75693560736138,Transformers MacroMicro
GGBR3.SA,Janela_5,11508.396669497635,15.083966694976352,1.2097100047035387,-4.451702209779407,150.10957097243173,171.52426837849845,Transformers MacroMicro
BRFS3.SA,Janela_15,18224.82746212093,82.24827462120935,1.1218612366207554,-35.23920219086795,11.292848124098011,0.0,Transformers MacroMicro
CSNA3.SA,Janela_5,13193.082398222929,31.930823982229285,0.758416852716429,-38.69255371103952,9.279344697168035,0.0,Transformers MacroMicro
VALE3.SA,Janela_10,10112.540976012013,1.1254097601201285,0.1395381534629406,-24.038490518839687,94.43937390304129,0.2466932566546147,Transformers MacroMicro
SUZB3.SA,Janela_10,9963.01757054124,-0.3698242945875972,0.0686991028240877,-23.82470156018126,99.2396132185272,45.0696795934159,Transformers MacroMicro
BEEF3.SA,Janela_20,9926.70823762444,-0.7329176237556021,0.0612248765952586,-17.57448445916093,42.188375979509566,1.1989592219561602,Transformers MacroMicro
