Days,Fold,Avg MAE,Avg MSE,Avg RMSE,Avg R²,Best Learning Rate,Number of Layers,Units Layer 0,Dropout Rate 0,Units Layer 1,Dropout Rate 1
7,2,0.22319725818605177,0.09430044872630096,0.2906252035129752,0.93202454175359,0.0009970264417017971,1,160,0.5,,
7,3,0.20669583714014342,0.08067681470588194,0.2707995762710537,0.938375149393404,0.0008221359539217021,1,160,0.1,,
7,4,0.18601023767611263,0.06702729007828799,0.24347194696784286,0.9499364356451654,0.0006945964472268635,1,224,0.1,,
7,5,0.19070719521994312,0.07442257484495222,0.25927677118548326,0.9493839550587271,0.0007086523755559902,2,160,0.5,224.0,0.30000000000000004
8,1,0.30497107960272485,0.15726842800210442,0.39657083604585,0.9365480908430096,0.000655171456557686,1,224,0.30000000000000004,,
8,2,0.22530258765920386,0.09696013202951204,0.29400876425690237,0.9309497841582377,0.0007809133920163749,1,160,0.5,,
8,3,0.2071775223832508,0.08212584792218473,0.2723510236561765,0.9379554016924994,0.0009157892800444247,1,224,0.5,,
8,4,0.1893448829650879,0.06914869031940747,0.24772101842532163,0.9490114632018299,0.00046143082283313386,1,160,0.1,,
8,5,0.18839332130420589,0.07091648802116773,0.254029363053905,0.9512868100694696,0.0007549573613659889,1,96,0.1,,
9,1,0.3307937890426474,0.1831290760700562,0.42793583172019634,0.9261142897756611,0.0005320291722574488,1,160,0.1,,
9,2,0.2404820244539523,0.11105134666165506,0.31267659994267255,0.9233685063575272,0.0008748629468673924,1,160,0.30000000000000004,,
9,3,0.21868039031132144,0.09209810151738364,0.28604803909862836,0.9323718601827623,0.0009230048799887741,1,160,0.30000000000000004,,
9,4,0.19612364802346105,0.07601664420727071,0.2561985666603871,0.9451842785899258,0.000831315330300408,1,224,0.5,,
9,5,0.19427264147915743,0.07677914211339576,0.26146695318590385,0.9480379986047002,0.0008225402647436186,1,96,0.1,,
10,1,0.31632718015546696,0.16837856636992787,0.4103395744623322,0.9320655669226503,0.0008223591339656908,1,224,0.1,,
10,2,0.23733535548742524,0.10582058776663253,0.30916811553904944,0.9219764659323658,0.0009928711111409098,2,160,0.1,160.0,0.5
10,3,0.21685622583659558,0.08906044117567537,0.2846686016109606,0.9310322300091576,0.000993279120655216,1,224,0.5,,
10,4,0.19384401180019173,0.07342743373563869,0.2542203130964233,0.9443629451046458,0.0009557183131222905,1,96,0.1,,
10,5,0.18988855299899146,0.07241919477680253,0.25567777586271717,0.9485433556635693,0.0008314201702350932,1,224,0.1,,
11,1,0.33244025797418314,0.1819753873837341,0.42658573274751477,0.9265797598681006,0.0006249774802830185,1,160,0.30000000000000004,,
11,2,0.2439577316191842,0.11181420771527179,0.31533823379287335,0.9208726733632543,0.0007622335850824685,1,160,0.5,,
11,3,0.21961831433329385,0.09190121349541691,0.2862921449472983,0.9313539393523725,0.0007809133920163749,1,160,0.5,,
11,4,0.19600083788296097,0.07553461781854662,0.2553660879862574,0.9446180242109192,0.000837725409171118,1,160,0.1,,
11,5,0.19433663825584793,0.0766825847770071,0.2613102195419958,0.947438172714812,0.0007376765559773553,1,96,0.1,,
12,1,0.3461445035356464,0.19684181897545985,0.4436685913781365,0.9197791179130752,0.000343749510535621,1,224,0.1,,
12,2,0.2544452280709238,0.12111200171493329,0.32834976927671977,0.91314146355312,0.0002961798617930559,1,224,0.5,,
12,3,0.22670171477577905,0.098368077043217,0.29555218375830467,0.9261022881838624,0.0009375576265118634,1,224,0.30000000000000004,,
12,4,0.20127751953674086,0.0804218806696702,0.26242509612216347,0.9406807355415079,0.0006087838621111496,1,224,0.1,,
12,5,0.19550840283885146,0.07775504117769301,0.26174265722334167,0.945737694825422,0.0008824962084950153,1,224,0.1,,
13,1,0.30429630640781286,0.15661957529588405,0.39575191129782816,0.9361712843962201,0.0009434533691652866,1,224,0.1,,
13,2,0.22425773071520255,0.09652420189558604,0.29330764390717556,0.9305603804592583,0.0008836451157191597,1,160,0.1,,
13,3,0.21023571695944274,0.08380090316222394,0.27606054886566134,0.9360594306100564,0.0007731402919555645,1,160,0.1,,
13,4,0.19035533187967357,0.07001639372334192,0.2493706888239851,0.947843815227619,0.0009437473627961787,2,224,0.1,32.0,0.1
13,5,0.19318617192181672,0.07545161403795184,0.2618479729503981,0.9484136447924728,0.0005208167846957284,1,32,0.1,,
14,1,0.3169972571459683,0.16867003662389551,0.4106945782742883,0.9312602413957082,0.0009450703444303969,1,160,0.1,,
14,2,0.23007163567976513,0.10229442031724972,0.3001085734396006,0.9286302341377146,0.0009795032169254848,1,160,0.1,,
14,3,0.2117765365224896,0.08650301912177834,0.2781892582125902,0.9358112024368165,0.0006400328096932681,2,224,0.1,160.0,0.1
14,4,0.1879637982357632,0.07071309702940931,0.24683825463339523,0.948437261766822,0.0007483721455490164,1,224,0.1,,
14,5,0.18607234221516233,0.07096972161038093,0.25113482640089757,0.9514448826995221,0.0009289008728254506,1,224,0.30000000000000004,,
15,1,0.3325234181953199,0.1835316176021293,0.42840590285630903,0.925203555161627,0.0008435736847757152,1,160,0.30000000000000004,,
15,2,0.2451499566887364,0.11309729523835327,0.31747803660674107,0.9186547364652002,0.000892561929754133,1,96,0.5,,
15,3,0.22500999250797307,0.09542536829160632,0.29335712719503276,0.9275999927333439,0.0007174285844992527,2,224,0.1,160.0,0.5
15,4,0.2014662195787285,0.07858638088012826,0.2619026715909227,0.9415862108903041,0.0006557032739062124,1,96,0.5,,
15,5,0.19722236030029525,0.07767035268069371,0.2639303130859211,0.9457601000631323,0.0008149682474290009,1,160,0.30000000000000004,,
16,1,0.3287703008362741,0.18055361129512346,0.42491600498818993,0.9264172113554778,0.0006407411594192212,1,160,0.1,,
16,2,0.2445832913572138,0.11229860908796474,0.317390846352448,0.9178393762955994,0.0008657670436134468,2,224,0.30000000000000004,32.0,0.1
16,3,0.21749606325168802,0.0911012828887981,0.28515915997029023,0.9304964078903929,0.0008764675343899691,1,224,0.5,,
16,4,0.19544750677816797,0.07543783721420921,0.2560353368455918,0.9437031115742982,0.00048515966376114363,1,96,0.1,,
16,5,0.1913541939764312,0.07439455490150607,0.2578269206482508,0.9478376378631468,0.0009128731940959207,2,224,0.30000000000000004,160.0,0.30000000000000004
17,1,0.32663045290744663,0.1781986863161754,0.422135862390505,0.9273769370887749,0.0004601844641925107,1,224,0.30000000000000004,,
17,2,0.24700061046715938,0.11302689806518629,0.32044698519348974,0.9143930177847912,0.0005656178511226345,2,160,0.30000000000000004,160.0,0.1
17,3,0.22201676151969216,0.09282608431558159,0.28995261568319747,0.9270744917504304,0.0009658803995063278,2,160,0.30000000000000004,160.0,0.1
17,4,0.1982110799262018,0.07643868277912287,0.25875344195819816,0.941308296522305,0.000563537107600052,1,160,0.30000000000000004,,
17,5,0.19374780308116565,0.07519436631660734,0.25999977252670203,0.9459222246661646,0.0005569458308397804,2,160,0.1,160.0,0.1
18,1,0.3210204295214825,0.17382411186492097,0.4169221892211075,0.9286312731584914,0.0008895192845365154,2,224,0.30000000000000004,160.0,0.1
18,2,0.23337930938361806,0.10526942515392843,0.3042665464947444,0.9260274495371073,0.000978972923813466,2,224,0.1,224.0,0.5
18,3,0.21370892302822328,0.08829840391594439,0.2805592002078839,0.9344274152797709,0.0007245981866828204,1,96,0.1,,
18,4,0.19143419254893415,0.07285554177155279,0.25113714455130676,0.9469492456970658,0.0008296135579213301,1,96,0.1,,
18,5,0.1920237046995727,0.07570352737397633,0.2599335988693355,0.9487320621306908,0.0003648055900525978,1,224,0.1,,
19,1,0.3377095354164135,0.18962178134593496,0.4354558316820834,0.9221450639333921,0.0007449127534880236,1,96,0.5,,
19,2,0.2507448380923235,0.11759016331804999,0.32445015495989293,0.9135615274650912,0.0009144105141487142,1,32,0.1,,
19,3,0.22513631527388886,0.09659514224516959,0.29419255059372806,0.9260424048301005,0.0008425156201520311,1,160,0.30000000000000004,,
19,4,0.19997510635074967,0.0790180184303537,0.2611773062126058,0.9406955582062204,0.0008002929290350699,1,160,0.1,,
19,5,0.19584025301954994,0.07791603789765053,0.263166605280053,0.9451062230047682,0.0008895334219593139,1,160,0.1,,
20,1,0.3004768976492296,0.1535956376256951,0.39191279339375373,0.9369366827872873,0.0005458378468546388,1,224,0.30000000000000004,,
20,2,0.22960778288486694,0.09854526259921825,0.30023353653675433,0.9231094348240034,0.00072172106010476,1,160,0.30000000000000004,,
20,3,0.2062709016756512,0.08108670034301199,0.27177938033234716,0.9349306739514658,0.0007761442956039713,1,224,0.30000000000000004,,
20,4,0.18392382080529637,0.06668255244136315,0.24213442814762287,0.9477728026558885,0.0008310752882282368,1,224,0.5,,
20,5,0.18351381979147835,0.0684127610629166,0.24860147498759094,0.9505830018171565,0.0008265014833328607,1,224,0.1,,
