Fold,Days,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std,RMSE_Mean,RMSE_Std,R²_Mean,R²_Std
1,10,4.018742931196435,5.331934840105069e-14,17.04648101530071,2.84369858138937e-14,4.128738429024138,4.88760693676298e-14,-15.628365975635669,1.759538497234673e-13
2,10,4.398662148241582,8.9754236475102e-14,20.298244748047463,6.753784130799754e-14,4.505357338552344,1.0397272938204885e-13,-18.80077496025674,3.554623226736712e-15
3,10,4.614702398623675,2.6659674200525345e-15,22.28130149394872,2.8792448136567373e-13,4.720307351640221,3.021429742726206e-14,-20.73523173292101,2.0972277037746606e-13
4,10,4.611415210331037,5.420800420773487e-14,22.26979532153126,4.0167242462124855e-13,4.71908839941903,4.354413452752473e-14,-20.72400947878276,6.398321808126084e-14
5,10,4.714812743600566,6.220590646789247e-14,23.24006195001487,6.042859485452412e-14,4.820794742572522,6.842649711468172e-14,-21.670495864065654,7.820171098820768e-14
1,11,3.863953350245888,7.153679243807635e-14,15.797811209653013,3.128068439528307e-13,3.9746460483485824,6.087292275786621e-14,-14.41063883485637,3.216934020196725e-13
2,11,4.461551118454026,8.9754236475102e-14,20.878000748852003,9.242020389515453e-14,4.569245096167637,9.064289228178618e-14,-19.366323594470312,3.4479845299346114e-13
3,11,4.594307933102745,8.886558066841783e-15,22.106802280574016,1.0663869680210138e-13,4.701787136884657,4.6210101947577265e-14,-20.565449833404166,9.242020389515453e-14
4,11,4.604159486681127,4.976472517431398e-14,22.197524211773217,5.331934840105069e-14,4.7114248600368445,1.6884460326999384e-14,-20.65386331804935,2.0261352392399264e-13
5,11,4.715357073475672,4.08781671074722e-14,23.247183980566756,3.554623226736713e-14,4.821533364041646,6.13172506612083e-14,-21.678369573001312,2.5948749555178e-13
1,12,3.8612175624173375,8.397797373165484e-14,15.784761619701642,1.6528998004325714e-13,3.9730041051705007,9.864079454194377e-14,-14.398539302715442,1.386303058427318e-13
2,12,4.433184707587309,3.554623226736712e-15,20.610828307926287,2.0261352392399264e-13,4.539915011090657,1.1552525486894316e-14,-19.106520783410776,3.554623226736713e-14
3,12,4.51404568977118,2.399370678047281e-14,21.36550253168537,6.042859485452412e-14,4.622283259568304,5.776262743447158e-14,-19.84272989673647,1.670672916566255e-13
4,12,4.6440040164984255,8.88655806684178e-16,22.563989146472597,3.270253368597776e-13,4.750156749673907,7.642439937483933e-14,-21.01189022868406,4.976472517431398e-13
5,12,4.674079464518422,2.04390835537361e-14,22.855169335677655,5.083111214233499e-13,4.78070803706707,1.7773116133683566e-14,-21.29639965196478,3.199160904063042e-14
1,13,3.8947256563429415,4.6210101947577265e-14,16.073350782114602,1.0308407357536467e-13,4.009158363312008,3.910085549410384e-14,-14.680385087578173,2.3815975619135977e-13
2,13,4.434287421973511,1.0130676196199632e-13,20.651504914957286,3.234707136330409e-13,4.544392689343348,9.419751550852289e-14,-19.147020535121023,2.1327739360420276e-13
3,13,4.608971258927495,6.576052969462919e-14,22.24452436017521,4.443279033420891e-13,4.7164101136537315,3.910085549410384e-14,-20.701124224709876,4.6210101947577265e-14
4,13,4.613142620968192,2.932564162057788e-14,22.276006256250035,2.5593287232504335e-13,4.719746418638406,4.6210101947577265e-14,-20.73095529131894,2.1327739360420276e-14
5,13,4.628678342173422,5.598531582110323e-14,22.432849421747427,2.5948749555178e-13,4.7363329086696835,1.3329837100262673e-14,-20.883959207600128,0.0
1,14,4.000583468459219,3.910085549410384e-14,16.926639800795474,2.2394126328441292e-13,4.1141997764809,5.598531582110323e-14,-15.51247605662683,8.886558066841783e-15
2,14,4.408413628310315,8.17563342149444e-14,20.399321478778354,9.597482712189124e-14,4.516560802068136,8.708826905504947e-14,-18.900189255642438,3.199160904063042e-14
3,14,4.546713124620544,2.6659674200525345e-14,21.664651601780918,2.8436985813893705e-13,4.654530223532867,8.9754236475102e-14,-20.13455844685101,1.2796643616252167e-13
4,14,4.665570059144984,0.0,22.772355663749234,8.53109574416811e-14,4.772038941977447,5.509666001441905e-14,-21.215159388083123,8.886558066841782e-14
5,14,4.688567768134151,7.642439937483933e-14,22.99590950873043,2.5948749555178e-13,4.795405041154547,4.443279033420891e-14,-21.433243964748616,4.372186568886157e-13
1,15,3.849751056649119,3.6434888074051307e-14,15.705198053945482,5.331934840105069e-14,3.9629784321827297,5.420800420773487e-14,-14.320922056644795,2.168320168309395e-13
2,15,4.476481650460803,3.376892065399877e-14,21.03184465800188,2.6304211877851675e-13,4.586048915788171,5.776262743447158e-14,-19.517236319396147,1.0663869680210138e-13
3,15,4.5060633798995156,4.354413452752473e-14,21.28237824362532,2.168320168309395e-13,4.613282805511203,3.732354388073549e-14,-19.761639258924877,4.265547872084055e-14
4,15,4.601574997688723,4.354413452752473e-14,22.176984340531,8.53109574416811e-14,4.70924456155454,7.020380872805008e-14,-20.634353659906598,3.554623226736713e-14
5,15,4.648891003204212,8.264499002162857e-14,22.616185387724823,6.042859485452412e-14,4.75564773587414,9.952945034862796e-14,-21.062810396268272,1.5284879874967865e-13
1,16,4.002957891252705,3.465757646068295e-14,16.916872079805493,2.523782490983066e-13,4.113012530956538,6.842649711468172e-14,-15.502948143771729,1.5995804520315208e-13
2,16,4.430218487209715,8.708826905504947e-14,20.607641311350655,4.372186568886157e-13,4.53956400013819,8.53109574416811e-14,-19.103411545823025,1.5995804520315208e-13
3,16,4.55425372506891,2.84369858138937e-14,21.731931062211327,1.706219148833622e-13,4.661751930574098,1.2441181293578494e-14,-20.20019314241791,1.0663869680210138e-13
4,16,4.632347746162998,6.220590646789247e-14,22.462037498413217,2.8436985813893705e-13,4.7394132019073,6.13172506612083e-14,-20.912881228827622,7.109246453473425e-15
5,16,4.688848687886038,4.6210101947577265e-14,22.99685142077978,2.772606116854636e-13,4.795503250002004,8.17563342149444e-14,-21.434162554191225,1.7773116133683563e-13
1,17,3.928174650822752,3.2880264847314593e-14,16.333751380862648,2.417143794180965e-13,4.041503603965069,6.842649711468172e-14,-14.934095155740076,9.419751550852289e-14
2,17,4.34593482144281,1.3329837100262673e-14,19.859875429861834,2.488236258715699e-14,4.456442014641482,6.4871873887945e-14,-18.37394147348805,1.5284879874967865e-13
3,17,4.54781198253501,8.886558066841782e-14,21.677703794672023,1.955042774705192e-13,4.65593210803938,5.065338098099816e-14,-20.147291119733065,5.331934840105069e-14
4,17,4.607210225628731,7.37584319547868e-14,22.233660106919654,4.976472517431398e-14,4.715258222719053,3.554623226736712e-15,-20.690085719244255,3.4835307622019786e-13
5,17,4.678142364544016,3.2880264847314593e-14,22.891625875701017,3.7679006203409157e-13,4.784519398612678,1.421849290694685e-14,-21.331966551346675,6.753784130799754e-14
1,18,4.039781551996185,7.820171098820768e-14,17.256380915833088,2.203866400576762e-13,4.154080032429933,6.93151529213659e-14,-15.834149511945986,1.6884460326999387e-13
2,18,4.493288492557824,3.8212199687419663e-14,21.180353339865885,4.976472517431398e-14,4.602211787810932,7.109246453473426e-14,-19.662107690419557,1.670672916566255e-13
3,18,4.492552471548223,4.976472517431398e-14,21.160399251200353,2.1327739360420276e-14,4.600043396664901,8.53109574416811e-14,-19.643482037090397,9.242020389515453e-14
4,18,4.63885412223549,1.6884460326999384e-14,22.52828492818397,8.17563342149444e-14,4.7463970470435735,5.331934840105069e-14,-20.978407628346,3.945631781677751e-13
5,18,4.641618736096277,8.17563342149444e-14,22.561590877864315,3.910085549410384e-13,4.749904301969073,1.137479432555748e-13,-21.01000005269031,2.6659674200525347e-13
1,19,3.88846035745039,7.731305518152351e-14,16.018313663450844,1.7773116133683563e-13,4.002288553246862,7.020380872805008e-14,-14.626694047306238,2.079454587640977e-13
2,19,4.403735886903122,4.88760693676298e-14,20.37610532406294,2.203866400576762e-13,4.513989956132263,1.1552525486894316e-14,-18.87794571483557,1.7773116133683566e-14
3,19,4.503048280944244,4.6210101947577265e-14,21.284682914325835,2.488236258715699e-14,4.613532585159211,1.8661771940367744e-14,-19.764316587419735,1.4573955229620523e-13
4,19,4.585164261219581,7.997902260157604e-14,22.02032535218566,3.554623226736712e-15,4.692581949437396,8.17563342149444e-14,-20.481958621865097,2.9147910459241045e-13
5,19,4.642169587354145,2.6659674200525345e-15,22.56034892646141,9.242020389515453e-14,4.749773565809365,7.997902260157605e-15,-21.009234557714173,8.886558066841782e-14
