Fold,Days,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std,RMSE_Mean,RMSE_Std,R²_Mean,R²_Std
1,7,21.149847204690357,5.3319503187450114e-14,1165.0021193319953,1.5242268644519072e-11,34.13212737776529,3.9100969004130083e-13,0.7629019630860163,3.332468949215632e-15
2,7,12.213520793626428,1.5818119278943532e-13,504.6140771517105,3.469322340730087e-12,22.463616742450675,1.1730290701239024e-13,0.8973023266597709,1.2219052813790652e-15
3,7,8.697435884702287,1.4929460892486031e-13,259.94330152326074,3.5261964774633673e-12,16.122757255608008,3.0925311848721067e-13,0.9470970520333091,4.332209633980322e-15
4,7,10.700043894559723,8.88658386457502e-15,392.3609475718414,7.052392954926735e-12,19.808103078584825,7.820193800826017e-14,0.9201477757960338,7.442513986581578e-15
5,7,9.488681245313611,1.6173582633526534e-13,305.48316890348684,2.900580973397286e-12,17.478076807918168,4.6210236095790093e-14,0.9378289030934894,1.1219312129025961e-14
1,8,23.453298687162466,7.109267091660016e-14,1330.2200361436628,6.824896407993615e-12,36.472181675129654,6.398340382494013e-14,0.7292772656807224,6.998184793352827e-15
2,8,10.204789157562585,1.2618949087696525e-13,366.1781896536085,2.6162102897308855e-12,19.135782964216755,3.554633545830008e-14,0.9254764374365085,1.3885287288398467e-14
3,8,9.418346861268734,1.3152144119571027e-13,309.33847387880553,3.4124482039968073e-12,17.58802074932837,8.886583864575019e-14,0.9370442976595369,1.033065374256846e-14
4,8,10.371419853062148,0.0,342.29721330613296,4.77742748559553e-12,18.501275991296723,1.919502114748204e-13,0.9303366270523674,1.0108489145954084e-14
5,8,9.348165333914705,8.175657155409017e-14,283.30315118223723,4.1518119815294485e-12,16.83161166324357,2.950345843038906e-13,0.942342948174407,1.3885287288398467e-14
1,9,21.642222355045455,1.9905947856648043e-13,1334.0301706108905,1.2512310081321627e-11,36.5243777580247,4.76320895141221e-13,0.7285018375612645,4.44329193228751e-15
2,9,14.944963740478583,2.879253172122306e-13,734.1216876371345,5.3461688529283314e-12,27.094680061538547,1.4929460892486031e-13,0.8505935670790454,5.554114915359387e-16
3,9,7.940124474642858,1.3507607474154029e-13,205.94600773680256,2.417150811164405e-12,14.35081906153104,2.292738637060355e-13,0.9580864332052319,9.775242251032521e-15
4,9,6.270124720703193,6.842669575722765e-14,78.31353200327179,1.1801383372155625e-12,8.849493319013906,1.1730290701239024e-13,0.9840618447008295,9.33091305780377e-15
5,9,10.792479045447722,2.4882434820810053e-14,408.54399896549273,4.094937844796168e-12,20.212471372038923,1.777316772915004e-14,0.9168542041874022,1.1552559023947523e-14
1,10,20.232614464687735,2.381604475706105e-13,1123.8132494589188,8.872365330391699e-12,33.523323961965914,4.1233749131628086e-13,0.7712844951642641,6.7760201967384514e-15
2,10,13.067544611689856,8.353388832700518e-14,603.0973990924159,9.213610150791379e-12,24.55804143437371,1.386307082873703e-13,0.8772592404850319,1.1330394427333149e-14
3,10,11.423029887238538,2.417150811164405e-13,469.40329875479915,1.0464841158923542e-11,21.66571712994516,2.5948824884559053e-13,0.9044683277318613,1.321879349855534e-14
4,10,7.193475321611114,9.064315541866519e-14,148.1735425093361,2.2749654693312046e-13,12.172655524138356,9.242047219158019e-14,0.9698441269173838,1.6106933254542222e-14
5,10,10.009128944405207,8.88658386457502e-15,338.30159686342444,2.5593361529976053e-12,18.392976835287552,2.381604475706105e-13,0.9311498037525678,9.33091305780377e-15
1,11,19.65434201798738,3.1991701912470066e-13,1090.1993969942873,1.910970994238212e-11,33.01816768075248,2.417150811164405e-13,0.7781256632312272,1.0997147532411585e-14
2,11,17.162429275059537,2.914799507580606e-13,1003.3387862551753,1.2967303175187867e-11,31.675523456687742,2.950345843038906e-13,0.7958032921605814,9.886324549339708e-15
3,11,10.48240517025118,2.0794606243105544e-13,379.1563361016463,1.0806085979323223e-12,19.471937143018064,1.5640387601652034e-13,0.922835180514628,1.6995591640999722e-14
4,11,7.699325816935131,6.931535414368515e-14,189.38337006812975,1.5640387601652033e-12,13.761663056045583,2.9325726753097563e-13,0.9614572158091393,9.441995356110958e-15
5,11,11.88293310375502,2.328284972518655e-13,498.2364590982952,3.5261964774633673e-12,22.321210968455425,3.1991701912470066e-13,0.8986002819987005,7.886843179810328e-15
1,12,19.729357555669534,4.4432919322875093e-13,1130.376654991134,2.0019696130114604e-11,33.621074566276654,2.772614165747406e-13,0.7699488426463391,8.220090074731892e-15
