Ticker,Janela,MAE,MSE,RMSE,R2,Var_Real,Var_Pred,Prop_Var,Travado
SOJA3.SA,5,0.3128040455005788,0.17277340383637693,0.4156602023725352,0.9059975158334597,0.12878958232251522,0.12015144,0.9329282357490725,Não
SUZB3.SA,1,0.8373131076333978,1.059833793307284,1.029482293828934,0.9432860801414861,0.09671230967487675,0.09466106,0.9787901593253153,Não
SUZB3.SA,2,0.8492313633120159,1.0857332193080795,1.0419852298895986,0.9421044823557695,0.09689662642276986,0.09260906,0.9557511567720416,Não
SUZB3.SA,3,0.8386950123066808,1.0596357056341255,1.0293860819119935,0.943683409156238,0.09707411509978604,0.09258,0.9537042699878922,Não
SUZB3.SA,4,0.8512889518112435,1.1046492879646461,1.0510229721393562,0.9414992560811206,0.0972607048039738,0.091050036,0.9361441132372393,Não
SUZB3.SA,5,0.8491465564617897,1.0866431192544759,1.042421756898078,0.9426282943914877,0.097429036767855,0.09040041,0.9278590415926661,Não
VALE3.SA,1,1.135699808838879,1.9524179980718965,1.3972895183432446,0.9527974205115494,0.11324984888745267,0.108454995,0.9576612765734767,Não
VALE3.SA,2,1.1637349632697376,2.0073180635155907,1.4167985260846339,0.9512034265595942,0.11301944067674351,0.106420495,0.9416122923525514,Não
VALE3.SA,3,1.1600152151925223,2.025137358625082,1.4230732091586442,0.9503761777472128,0.11265880345602934,0.10831451,0.9614384618584266,Não
VALE3.SA,4,1.1583307766523518,2.000094685275487,1.414247038277078,0.9504610827259986,0.11215408483824121,0.10696153,0.9537016291605257,Não
VALE3.SA,5,1.168807873510039,2.0441341055254716,1.4297321796495566,0.9487975267566623,0.11162415621857665,0.10589897,0.9487101400170255,Não
