Previsões Razoáveis,Estratégia Usada,Total de Transações,Retorno Bruto (%),Retorno Liquido (%),Max Drawdown (%),Sharpe Ratio,Total Custos (R$),Total Impostos (R$),Min Previsto,Max Previsto,Média Previsto,Ticker,Janela
True,Trading Realista (B3),76,-3.843956113432396,-6.878014278002064,-13.6053938620181,-0.4005943641661255,285.55362424553044,17.852192211436776,53.82413,75.914,61.90013872,VALE3.SA,Janela_15
True,Trading Realista (B3),4,-12.000818339057714,-12.152263945458145,-31.1782295959144,-0.3167346914997304,15.144560640042524,0.0,58.744743,78.60401,67.22539625507247,VALE3.SA,Janela_20
True,Trading Realista (B3),4,16.954763555673637,16.727983670395226,-29.45804245945931,0.5432662755891058,17.929600095423265,4.748388432417902,18.197495,22.89239,19.928484966666666,JBSS3.SA,Janela_5
True,Trading Realista (B3),2,17.377024995021255,17.290090185023253,-28.014588647952245,0.5606390137317389,8.69348099980085,0.0,21.128397,25.63632,23.613916478873243,JBSS3.SA,Janela_10
True,Trading Realista (B3),10,11.142849153873776,10.64183715874713,-26.968327296676314,0.41113106631488433,43.316120882227274,6.785078630436407,18.296839,22.29345,19.40379088,JBSS3.SA,Janela_15
True,Trading Realista (B3),16,22.87019704095279,21.23936306536205,-4.935658355310516,1.436696148283976,72.32646195171273,90.75693560736138,14.622646,17.861149,15.647093207246376,JBSS3.SA,Janela_20
True,Trading Realista (B3),14,38.32578038936539,36.718386505883245,-14.967103047775726,1.0769549846867483,70.31914939303074,90.42023895518396,10.688284,13.199554,11.587973298611113,SOJA3.SA,Janela_5
True,Trading Realista (B3),20,21.852315935232163,20.07425719637964,-3.6346625190965813,1.8236726306192412,90.43421252399312,87.37166136126017,9.672199,13.808735,10.612833697183097,SOJA3.SA,Janela_10
True,Trading Realista (B3),26,33.29577689013011,31.757079251067076,-6.396032878465191,1.408617709382801,124.50720545566966,29.362558450633152,9.851335,13.225019,10.81737074857143,SOJA3.SA,Janela_15
True,Trading Realista (B3),14,24.855391297354164,23.85181851107487,-21.332774564592953,0.7386245969880463,66.32843406643019,34.02884456149836,11.067915,13.316008,12.02283636956522,SOJA3.SA,Janela_20
True,Trading Realista (B3),48,-10.631087588418614,-12.838471271658273,-23.565399706131565,-0.7487947809569941,171.69919559009563,49.03917273387039,35.51189,52.177765,44.336252852777776,SUZB3.SA,Janela_5
True,Trading Realista (B3),26,1.073268633531843,-0.36982429458759725,-23.82470156018126,0.0686991028240877,99.23961321852721,45.0696795934159,36.87442,52.455105,45.69281025633803,SUZB3.SA,Janela_10
True,Trading Realista (B3),26,-0.8068837988178165,-1.8777711998192899,-7.8106434738797486,-0.15839514214247025,104.40961369704085,2.6791264031070052,32.12985,51.855453,43.93086590857142,SUZB3.SA,Janela_15
True,Trading Realista (B3),34,-6.166561320183828,-7.583200537777575,-14.014658606220582,-0.7656333257925598,132.4254085824714,9.238513176904167,34.519394,51.595142,43.65925575072464,SUZB3.SA,Janela_20
True,Trading Realista (B3),36,18.300305088485658,15.083966694976352,-4.451702209779407,1.2097100047035387,150.10957097243173,171.52426837849845,16.636839,20.654259,18.68049558611111,GGBR3.SA,Janela_5
True,Trading Realista (B3),34,18.705124400363385,15.99527441268281,-10.044471439902978,0.8319907877796558,145.18838632216452,125.79661244589259,17.351116,20.249035,18.955575112676055,GGBR3.SA,Janela_10
True,Trading Realista (B3),8,5.884117438399008,5.554440279945193,-0.5203429019517716,0.9628879449895043,32.96771584538064,0.0,16.274797,20.132923,18.28480637142857,GGBR3.SA,Janela_15
True,Trading Realista (B3),46,17.237009275504313,13.501483012847729,-6.830786157940566,0.9868866854377234,188.82348097282664,184.72914529283057,17.12542,20.81477,18.785247426086958,GGBR3.SA,Janela_20
True,Trading Realista (B3),2,32.02361742920097,31.930823982229285,-38.692553711039515,0.758416852716429,9.279344697168037,0.0,17.83378,22.481804,19.50475071388889,CSNA3.SA,Janela_5
True,Trading Realista (B3),2,25.251275535913702,25.16119102569934,-38.692553711039515,0.6522739667980925,9.008451021436548,0.0,16.670744,18.95293,17.32036070422535,CSNA3.SA,Janela_10
True,Trading Realista (B3),4,3.8579548799827537,3.6955079289554305,-31.42482204489977,0.23308283185842518,16.24469510273144,0.0,12.968615,13.853527,13.290070242857142,CSNA3.SA,Janela_15
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,7.861909,12.384524,9.192888959420289,CSNA3.SA,Janela_20
